-6,1
-5.9,1
-5.8,1
-5.7,1
-5.6,1
-5.5,1
-5.4,1
-5.3,1
-5.2,1
-5.1,1
-5,1
-4.9,1
-4.8,1
-4.7,1
-4.6,1
-4.5,1
-4.4,1
-4.3,1
-4.2,1
-4.1,1
-4,1
-3.9,1
-3.8,1
-3.7,1
-3.6,1
-3.5,1
-3.4,1
-3.3,1
-3.2,1
-3.1,1
-3,1
-2.9,2
-2.8,1
-2.7,1
-2.6,3
-2.5,2
-2.4,4
-2.3,4
-2.2,5
-2.1,5
-2,5
-1.9,8
-1.8,12
-1.7,9
-1.6,10
-1.5,11
-1.4,13
-1.3,22
-1.2,33
-1.1,33
-1,39
-0.9,29
-0.8,38
-0.7,45
-0.6,54
-0.5,56
-0.4,64
-0.3,66
-0.2,71
-0.1,74
0,71
0.1,65
0.2,71
0.3,74
0.4,68
0.5,64
0.6,73
0.7,73
0.8,87
0.9,91
1,97
1.1,102
1.2,111
1.3,111
1.4,115
1.5,132
1.6,145
1.7,145
1.8,159
1.9,157
2,160
2.1,147
2.2,154
2.3,164
2.4,145
2.5,148
2.6,136
2.7,140
2.8,115
2.9,108
3,107
3.1,97
3.2,86
3.3,88
3.4,89
3.5,72
3.6,70
3.7,73
3.8,66
3.9,67
4,65
4.1,69
4.2,65
4.3,58
4.4,52
4.5,44
4.6,33
4.7,31
4.8,30
4.9,27
5,25
5.1,28
5.2,19
5.3,15
5.4,15
5.5,17
5.6,13
5.7,9
5.8,9
5.9,8
6,5
