-6,3
-5.9,3
-5.8,3
-5.7,2
-5.6,1
-5.5,2
-5.4,1
-5.3,2
-5.2,2
-5.1,1
-5,3
-4.9,3
-4.8,1
-4.7,1
-4.6,3
-4.5,3
-4.4,4
-4.3,3
-4.2,3
-4.1,3
-4,4
-3.9,6
-3.8,8
-3.7,7
-3.6,12
-3.5,16
-3.4,16
-3.3,13
-3.2,21
-3.1,23
-3,21
-2.9,21
-2.8,26
-2.7,30
-2.6,44
-2.5,46
-2.4,39
-2.3,37
-2.2,31
-2.1,21
-2,20
-1.9,23
-1.8,21
-1.7,28
-1.6,20
-1.5,24
-1.4,6
-1.3,10
-1.2,-9
-1.1,-15
-1,-20
-0.9,-40
-0.8,-31
-0.7,-66
-0.6,-70
-0.5,-65
-0.4,-105
-0.3,-102
-0.2,-93
-0.1,-99
0,-93
0.1,-107
0.2,-98
0.3,-99
0.4,-94
0.5,-65
0.6,-64
0.7,-85
0.8,-46
0.9,-14
1,-10
1.1,9
1.2,13
1.3,21
1.4,11
1.5,19
1.6,32
1.7,47
1.8,70
1.9,63
2,69
2.1,90
2.2,68
2.3,75
2.4,73
2.5,65
2.6,75
2.7,73
2.8,71
2.9,72
3,61
3.1,57
3.2,66
3.3,58
3.4,46
3.5,59
3.6,64
3.7,62
3.8,62
3.9,59
4,57
4.1,44
4.2,50
4.3,46
4.4,45
4.5,38
4.6,38
4.7,37
4.8,38
4.9,36
5,39
5.1,39
5.2,44
5.3,36
5.4,37
5.5,36
5.6,38
5.7,37
5.8,30
5.9,33
6,29
