113.055	1.015	1.0
116.549	0.768	1.0
120.037	0.833	1.0
123.146	0.795	1.0
126.474	0.548	1.0
204.298	0.919	1.0
207.046	0.601	1.0
210.15	0.904	1.0
214.045	0.681	1.0
217.021	1.155	1.0
221.037	1.041	1.0
224.729	0.941	1.0
227.512	0.703	1.0
229.559	0.631	1.0
231.935	3.752	1.0
246.158	1.000	1.0
248.893	0.514	1.0
251.347	0.604	1.0
254.968	0.559	1.0
258.289	0.966	1.0
426.146	1.503	1.0
439.628	1.909	1.0
444.523	0.758	1.0
447.837	0.627	1.0
450.73	0.462	1.0
452.508	0.503	1.0
455.697	0.816	1.0
459.027	0.766	1.0
523.593	0.864	1.0
526.648	1.177	1.0
530.552	0.946	1.0
533.128	0.665	1.0
536.782	0.835	1.0
540.231	0.579	1.0
543.345	0.657	1.0
545.758	0.660	1.0
587.613	0.454	1.0
590.326	0.452	1.0
592.87	0.492	1.0
595.929	3.081	1.0
601.115	0.455	1.0
