csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	std_dvars	dvars	framewise_displacement	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	a_comp_cor_53	a_comp_cor_54	a_comp_cor_55	a_comp_cor_56	a_comp_cor_57	a_comp_cor_58	a_comp_cor_59	a_comp_cor_60	a_comp_cor_61	a_comp_cor_62	a_comp_cor_63	a_comp_cor_64	a_comp_cor_65	a_comp_cor_66	a_comp_cor_67	a_comp_cor_68	a_comp_cor_69	a_comp_cor_70	a_comp_cor_71	a_comp_cor_72	a_comp_cor_73	a_comp_cor_74	a_comp_cor_75	a_comp_cor_76	a_comp_cor_77	a_comp_cor_78	a_comp_cor_79	a_comp_cor_80	a_comp_cor_81	a_comp_cor_82	a_comp_cor_83	a_comp_cor_84	a_comp_cor_85	a_comp_cor_86	a_comp_cor_87	a_comp_cor_88	a_comp_cor_89	a_comp_cor_90	a_comp_cor_91	a_comp_cor_92	a_comp_cor_93	a_comp_cor_94	a_comp_cor_95	a_comp_cor_96	a_comp_cor_97	a_comp_cor_98	a_comp_cor_99	a_comp_cor_100	a_comp_cor_101	a_comp_cor_102	a_comp_cor_103	a_comp_cor_104	a_comp_cor_105	a_comp_cor_106	a_comp_cor_107	a_comp_cor_108	a_comp_cor_109	a_comp_cor_110	a_comp_cor_111	a_comp_cor_112	a_comp_cor_113	a_comp_cor_114	a_comp_cor_115	a_comp_cor_116	a_comp_cor_117	a_comp_cor_118	a_comp_cor_119	a_comp_cor_120	a_comp_cor_121	a_comp_cor_122	a_comp_cor_123	a_comp_cor_124	a_comp_cor_125	a_comp_cor_126	a_comp_cor_127	a_comp_cor_128	a_comp_cor_129	a_comp_cor_130	a_comp_cor_131	a_comp_cor_132	a_comp_cor_133	a_comp_cor_134	a_comp_cor_135	a_comp_cor_136	a_comp_cor_137	a_comp_cor_138	a_comp_cor_139	a_comp_cor_140	a_comp_cor_141	a_comp_cor_142	a_comp_cor_143	a_comp_cor_144	a_comp_cor_145	a_comp_cor_146	a_comp_cor_147	a_comp_cor_148	a_comp_cor_149	a_comp_cor_150	a_comp_cor_151	a_comp_cor_152	a_comp_cor_153	a_comp_cor_154	a_comp_cor_155	a_comp_cor_156	a_comp_cor_157	a_comp_cor_158	a_comp_cor_159	a_comp_cor_160	a_comp_cor_161	a_comp_cor_162	a_comp_cor_163	a_comp_cor_164	a_comp_cor_165	a_comp_cor_166	a_comp_cor_167	a_comp_cor_168	a_comp_cor_169	a_comp_cor_170	a_comp_cor_171	a_comp_cor_172	a_comp_cor_173	a_comp_cor_174	a_comp_cor_175	a_comp_cor_176	a_comp_cor_177	a_comp_cor_178	a_comp_cor_179	a_comp_cor_180	a_comp_cor_181	a_comp_cor_182	a_comp_cor_183	a_comp_cor_184	a_comp_cor_185	a_comp_cor_186	a_comp_cor_187	a_comp_cor_188	a_comp_cor_189	a_comp_cor_190	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	non_steady_state_outlier00	non_steady_state_outlier01	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
648.2637614850138	n/a	420245.9044546989	n/a	614.1291880672574	n/a	377154.65963614883	n/a	554.1077394490596	n/a	307035.386917347	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	n/a	0.0	n/a	-0.00177807	n/a	n/a	3.1615329249e-06	-0.039738	n/a	n/a	0.0015791086439999999	0.000107443	n/a	n/a	1.1543998248999999e-08	-0.0	n/a	n/a	0.0	0.0	n/a	n/a	0.0	0.0
640.9468699637257	-7.316891521288085	410812.8901162971	53.536901534297456	612.1134323354447	-2.0157557318126464	374682.85404547903	4.063271170335538	550.0277889871086	-4.079950461951057	302530.56865804724	16.645995771974643	1.327811	37.952602	0.08683846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.00517569	0.00695376	4.83547781376e-05	2.67877669761e-05	0.018704	0.058441999999999994	0.003415467364	0.00034983961599999993	0.0005362969999999999	0.000428854	1.83915753316e-07	2.8761447220899986e-07	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
636.5968575129302	-4.350012450795475	405255.558995338	18.922608322075657	610.7405864875997	-1.372845847845042	373004.0639832172	1.884705721945372	548.6220059831242	-1.4057830039844248	300986.1054489471	1.9762258542914728	1.337925	38.241688	0.2002306	-0.09536804380000001	-0.0041254648	-0.1267222341	0.0003264796	-0.082028968	-0.0405737091	-0.031047090899999998	0.0099288104	-0.1125680247	0.08719127869999999	-0.0279453906	0.0881523499	-0.0203355404	0.0965974233	-0.0021351439000000002	0.0520573204	-0.008868823100000001	0.0576007199	-0.0339080635	0.0654702739	-0.0454216896	0.0952929095	-0.0134172556	0.0225200539	-0.0542100189	0.12170860439999999	-0.0509793336	0.0047256337	0.0232241468	-0.0880728615	-0.06412203059999999	0.0113368972	-0.0493799275	0.016000263100000002	-0.005860081	0.0143434383	-0.003277659	0.035720872	-0.05742181370000001	0.017017058300000002	-0.011588323400000001	0.0547478305	-0.0216642019	0.006072395899999999	-0.0053584083999999995	0.076338668	-0.009011733000000001	0.0676677722	-0.0058019809999999995	0.0517555912	-0.1194740105	0.0361732434	-0.0314163768	0.0828720019	-0.0902540681	-0.0186939167	0.0042374475	0.05682092	-0.0162083641	-0.0196149505	0.043824138	0.0364832572	-0.0014254457999999998	-0.013468333300000001	0.065856965	-0.071782132	0.038068854	0.0079260988	0.0382312269	-0.007748148000000002	-0.0229337364	-0.0406376727	0.0671276217	-0.011115503700000001	-0.0954067633	0.06809124009999999	0.0259713773	-0.045133346100000006	-0.0180500322	0.020793698500000003	0.0198583732	-0.0323829823	-0.0011963658999999999	-0.0433335223	0.0772906585	0.0271211212	-0.1627624841	-0.09360330160000001	0.0919830794	-0.0135738795	0.0919139737	-0.0109509217	0.061353828099999994	-0.035236101	0.0965960987	-0.0393437717	-0.0238927864	0.1671006232	-0.0013272741	0.0394637247	-0.058106417	0.0453764205	-0.1807432493	0.0094574779	0.0041216974	-0.15196234779999998	0.0011834445	-0.0263927402	0.015013055800000001	-0.0015856963	0.0347702399	-0.08778345	0.028677776800000002	-0.0318208342	0.048662274500000005	0.056881338	-0.11724267210000001	0.036351977599999995	-0.0816846128	0.053536945	-0.0115071754	-0.061674585199999986	0.044297910700000005	-0.0481007366	0.0184417505	-0.0185753214	0.0217659914	-0.0237534638	0.08576404929999999	-0.05877141900000001	0.012571038100000001	-0.07371659929999999	0.0326469576	-0.13725798320000002	0.0077537996999999985	-0.10693245960000004	-0.006574742299999999	0.0104880926	-0.0488861783	0.0318180288	-0.0508731321	0.0172356782	-0.025687110200000002	0.0190491392	-0.0120840858	0.0076078217000000005	-0.000391004	0.0056554049	-0.0217297129	0.0162306797	-0.0832202825	0.0218918398	-0.020094219	0.038650738399999995	-0.0365654799	0.1456912058	-0.0282901229	0.0349007697	-0.004058444699999999	-0.0498393379	0.0059897699	0.042336299	-0.051408560199999995	0.0371917479	-0.0156016352	-0.0056311385	0.038146901000000004	-0.0935267457	-0.1311266595	0.0495609979	-0.0618278145	-0.0146143908	-0.031680501	0.0270981627	-0.0368991073	-0.028483805600000002	0.048733399000000004	-0.0410836962	-0.0062984819	-0.0257567859	0.068103056	-0.0134453467	-0.0054264474	-0.023196718999999998	-0.0356396612	0.1466708026	-0.0468788297	-0.07678377530000001	0.0150717953	0.0005461776	0.0234000535	0.045638588499999994	-0.0739174309	-0.0140785048	0.1054166335	0.0819220539	0.0819186397	0.0819129493	0.081904983	0.081894741	0.08188222349999999	0.08186743099999999	0.08185036379999999	0.0	0.0	-0.0245905	-0.0245905	0.00060469269025	0.00060469269025	0.0468386	0.04166291	0.0017357980696680998	0.0021938544499599992	0.104481	0.08577699999999999	0.007357693728999999	0.010916279360999998	-0.000107722	-0.0006440189999999999	4.1476047236099994e-07	1.1604029284000003e-08	-4.18618e-05	-4.18618e-05	1.7524102992400001e-09	1.7524102992400001e-09	-0.000278123	-0.000278123	7.735240312899998e-08	7.735240312899998e-08	0.0
636.5211884984112	-0.07566901451900776	405159.22340742993	0.005725799758277807	611.6497288085562	0.909142320956562	374115.3907515804	0.8265397597542842	547.6040712683337	-1.0179347147904991	299870.2188696542	1.0361910835756147	1.354581	38.717762	0.244053	0.09416086130000001	0.016975113700000002	0.0061837217	0.0954322746	0.0778069055	0.0679291205	-0.0636644148	-0.024602837599999997	-0.0079124301	-0.0664949529	-0.0097229441	0.0544888113	-0.007018185	0.0526341499	-0.06291116990000001	-0.0320184854	0.026318273	-0.0045104463	0.0174099967	-0.007148557700000001	-0.0050559926	-0.0679670057	-0.035877832400000004	0.0281543754	-0.0727376736	-0.0221289523	0.07146059589999999	-0.03321863	-0.0279766817	0.0951286441	-0.06127686490000001	-0.0213299403	-0.0356211101	-0.056748168700000004	-0.0074313762	0.0808333287	-0.0077589988	0.0289855317	0.006202142700000001	-0.0836418414	-0.0045445369	0.11027585880000004	0.05179499480000002	-0.0786423381	-0.0184921329	-0.010575473500000002	0.0015291089	0.1366111404	0.0439918903	-0.07704308509999999	-0.060953518099999986	0.0238284937	0.049423786	0.035339171600000004	-0.0764549984	-0.0014723129	-0.0363142719	0.0007121016	-0.0400951201	-0.0312742351	0.050168182	-0.0534568264	0.0040791542	-0.0092287281	-0.0329734211	0.0487500133	0.0957908728	0.0100962373	-0.0511900819	0.049219751799999996	-0.0337650502	-0.0374297513	-0.052921141500000005	-0.0408811254	-0.039228777400000005	0.07242625400000001	0.023629248	-0.0050962469	0.025333404700000003	0.0250624375	-0.008576713199999999	0.06036325400000001	-0.026739648199999997	-0.0304216192	-0.0015637479000000002	0.0479356062	-0.0431465026	0.0760647288	-0.11776734859999999	0.015110964499999999	-0.0389655368	-0.0659233097	0.031665049	0.0007213639	-0.0138758812	-0.0195254383	-0.0549762646	0.007739556099999999	-0.0140482153	0.0394009441	-0.0906622983	-0.0206636439	-0.0618755187	0.033212159	-0.0209521596	0.014372113300000001	-0.0267134905	-0.0637326346	0.055765042699999996	0.0541859982	-0.0103195873	0.08517715960000001	-0.0616514099	-0.0519019397	0.03583393	-0.06571711870000001	-0.0188592903	0.0375969639	-0.0670608172	0.0410039518	0.0661134843	-0.0014700743	-0.023039166899999998	-0.0271922428	-0.0008268066	-0.0016298689000000001	-0.0073876947	0.0386310326	0.0102418102	0.1157616745	0.0505080738	0.0437339768	0.0153093051	0.07751912820000001	-0.0650496899	0.030236601600000006	-0.0031410776	-0.028033423199999997	0.1011726001	-0.025733023100000002	-0.0559196676	-0.010850541100000001	0.0063543999	0.0658944732	0.0051213864000000005	0.039781361800000005	0.039319387000000004	0.0408587906	-0.1081413484	0.0433478685	-0.0985788683	0.0604462721	-0.10890082890000001	0.0173331701	0.017326778600000002	0.036962963599999996	0.0478725066	0.0681024967	0.0216374164	-0.0305367301	0.0191318709	0.061523914400000004	-0.023439610299999997	-0.0287823356	-0.1383306527	-0.0090081664	-0.0291168387	-0.0553843175	0.0064529014	-0.0439910543	-0.0783221329	0.018210028	-0.0213318091	0.0098810725	0.0220362329	-0.026320004900000003	0.0576080657	0.073759362	-0.0189702204	-0.0109837871	-0.0490405854	0.0060683082	-0.0701438195	-0.025704882000000002	-0.0041861269	0.0293621147	-0.0038576519	0.0565581551	0.032293175099999995	-0.0361930295	-0.1356701763	0.0033064303000000005	-0.1181798408	0.0271976913	-0.012432909399999999	0.0819129493	0.08188222349999999	0.0818310225	0.0817593589	0.08166725080000001	0.0815547211	0.081421798	0.0812685147	0.0	0.0	0.00512466	0.02971516	2.62621401156e-05	0.0008829907338256002	-0.019193400000000003	-0.06603200000000001	0.004360225024	0.00036838660356000016	0.0372135	-0.0672675	0.00452491655625	0.0013848445822499998	0.00119306	0.001300782	1.6920338115239996e-06	1.4233921636e-06	-0.0	4.18618e-05	1.7524102992400001e-09	0.0	0.0	0.000278123	7.735240312899998e-08	0.0	0.0
636.1053481032186	-0.4158403951926175	404630.01388551685	0.17292323427395231	610.6429761547276	-1.0067526538285847	372884.8443271033	1.013550905990898	546.7165036940881	-0.8875675742455087	298898.9354114879	0.7877761988520566	1.32591	37.898258	0.20987362	-0.08631635380000001	0.023043753700000003	-0.1393075168	-0.0097493271	-0.079068696	-0.0344196644	-0.0104490044	0.1132991406	-0.0489692059	0.043266782000000004	0.0044014984	0.037995621	-0.055284787300000006	0.0869312001	0.10810128289999996	0.0392721202	0.018811063200000002	-0.0240850148	0.0129122888	-0.0005538553	0.0243542325	-0.0344399438	0.0367662371	-0.0249937215	-0.0978930866	-0.0377801003	0.0038700911	0.0670293492	-0.0088036114	-0.061008320199999994	0.0678896153	0.0231288356	-0.0515740251	0.1396613655	-0.0510065277	-0.009334695799999999	0.0028416871000000003	-0.0006492849	0.06971570049999999	-0.0494927583	-0.100613765	-0.01356589	0.0189948762	-0.039803366	0.0714005747	-0.052927078600000003	-0.0493711946	-0.0166247973	0.055048649500000005	-0.0152764751	-0.009603495600000001	0.059200750499999996	0.0721417811	-0.047366878499999994	-0.0195373603	0.0196551558	-0.0751108353	-0.0365582119	-0.0761170654	0.0526508907	0.0161128497	-0.09107646429999999	-0.015574359	-0.07798850339999999	-0.049471273200000006	0.0644376392	-0.000903244	0.1762541761	0.0772917187	-0.012214953300000001	0.0195560014	0.034955909300000004	-0.032615854300000004	-0.0091910246	0.0188556229	0.09822150730000001	0.098377819	0.1560627847	-0.0515104263	0.026409726600000002	-0.046954994699999995	0.0125385783	0.0016662316	0.09040634869999999	-0.0698354222	0.0011502017999999998	0.06372414480000001	-0.07161053839999999	0.09264562429999999	0.0168012262	0.1212752391	-0.0520177825	0.037029762599999995	0.0081901371	0.0428749439	-0.04467801	-0.033762646699999996	0.053867902300000006	-0.0094198825	0.0016884098000000001	0.10354153890000001	0.0122344364	-0.0453156193	-0.09553957019999999	-0.0086036707	0.034073685699999995	0.0613321055	-0.0097706964	0.0146338879	0.0051804142	-0.042614275800000004	-0.0744105771	0.0285398099	-0.0127068724	-0.083787616	0.0201025007	-0.072117929	0.0178122353	-0.07513843049999999	-0.0040676543	-0.0222941233	-0.1474975832	0.0094138322	-0.027104384500000002	0.0088086714	-0.0003258919	-0.029999005699999998	0.0243582753	-0.0058545296	0.07462455059999999	-0.069207048	-0.0535261645	-0.0962173025	-0.04835301400000002	0.025780783999999998	0.07549568599999999	0.0293664554	-0.0641133099	-0.0854634858	0.0916716357	-0.0340619824	-0.011108453899999999	-0.0006120007	-0.0183292754	0.1043682426	0.10347358039999999	-0.0216122345	-0.034049992700000004	0.012679401699999999	0.06264059599999999	0.0131773068	-0.0230965306	-0.0101810561	0.0595948223	0.0561303551	-0.028089147999999998	0.1449112506	-0.04093088	0.0340319216	-0.0697685791	0.043017970700000005	0.0884528443	0.0217498467	-0.0897937601	0.1103869352	-0.0093883834	0.0053864435	-0.0174750701	0.12461384980000001	0.0225658135	-0.0717950799	-0.026473786099999997	0.0123636747	0.0420492693	-0.038014831299999996	-0.0269946511	-0.052954211200000004	0.029330565899999998	0.12481076349999999	-0.0743147827	0.0186289132	0.0039810741999999994	0.0377265038	0.1268211716	-0.0771519113	-0.0187742146	-0.0100135801	0.0307345412	-0.0582420394	0.0093519412	-0.02916316	-0.0416354816	0.0209057577	0.0529734876	-0.0622699168	0.081894741	0.0818094074	0.08166725080000001	0.0814683697	0.0812129023	0.08090102610000001	0.08053295769999999	0.0801089527	0.0	0.0	-0.00992022	-0.01504488	9.84107648484e-05	0.0002263484142144	0.0343578	0.053551200000000014	0.0028677310214400013	0.00118045842084	0.120311	0.08309749999999999	0.006905194506249998	0.014474736720999996	2.94592e-05	-0.0011636008	1.35396682176064e-06	8.6784446464e-10	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
634.9273906082493	-1.1779574949692917	403132.7913446004	1.3875838599543284	611.0136137536507	0.3706375989230537	373337.63619229547	0.1373722297354464	545.5244275835946	-1.1920761104935311	297596.90109040856	1.4210454532093848	1.399585	40.004101	0.12944338000000002	0.1158579275	-0.0006722635	0.0747797445	0.0292938957	0.1094019358	0.038802687999999995	0.0119680232	-0.015141978899999999	0.0990371	-0.0313901721	0.028431092999999998	-0.0325061566	0.0174518629	0.0538293165	-0.023409086000000003	-0.0588561062	-0.0078687746	-0.0359685	0.032544709399999996	0.0118587043	0.0028640999	-0.1081709704	-0.0279516448	0.014035808600000001	0.0367788004	-0.0021796185	0.0079962969	0.079960189	0.09401585259999999	0.06872427219999999	-0.0357598407	0.0172377968	-0.0139134901	0.0041693182	-0.0183531069	0.0763366933	-0.0981378118	0.009766636700000001	-0.0502901654	0.039490722799999996	0.0866028264	0.08500842609999999	-0.0156537058	-0.0551302968	-0.043645478499999994	0.016888133700000002	-0.0805936026	0.0300255918	-0.0467972188	-0.1267118756	0.011359986899999999	-0.057215040599999996	-0.1175862596	-0.1261361153	-0.019655200600000002	-0.0438135549	-0.0575321924	0.08441204140000001	0.1601475674	0.0324058909	-0.014686194	-0.072984127	0.0294405833	0.0566293374	-0.0397309727	0.051401829	-0.0264651716	-0.0084091168	0.0378034664	0.0362014718	-0.049842968499999994	0.017255132700000002	0.062128102699999986	0.0381681877	0.0325857348	-0.045097573200000005	-0.0396492243	0.0252424204	0.0437816253	-0.056439312400000004	-0.1481460382	0.0523501225	0.0151455623	0.0250566595	0.038972083500000004	0.021513828500000002	-0.07968600070000001	-0.0315787006	-0.1281306308	0.0032761639	-0.07637837900000001	0.006742714499999999	0.0521990059	0.0312995711	-0.0185430758	-0.0675800587	-0.050377679800000005	-0.0181471544	-0.0581681726	0.0179348111	-0.0094735155	0.0025644293	-0.033243931000000004	0.13905192019999998	-0.0894789356	-0.0026111442	0.031281101400000004	-0.0237575697	0.0242577468	0.0484012831	-0.008713843	0.1092762727	-0.022012437200000002	0.0210314523	-0.023819691400000002	-0.0108668273	0.0880305458	-0.0044725839	0.0281554285	-0.0170060146	0.0706052235	-0.07533960599999999	0.0042438892	0.0371920692	0.020701446499999998	0.0246766355	0.0083316189	0.048364923899999995	-0.0622667821	0.0024229453	0.0017382717	-0.0062167590000000005	0.0063086775	0.0728712279	0.0692056816	0.0150109283	-0.0342893458	-0.06364509360000001	0.048047468600000004	-0.0694305824	0.012602571100000001	-0.0177761509	-0.0445257458	-0.0474440941	-0.0781648087	-0.0703370547	0.006384435	0.046449183399999996	0.0579895738	-0.0064629443000000005	-0.1078915205	-0.0518389224	-0.1285115768	-0.0851590949	0.0509331888	-0.0867315733	-0.021670934300000003	0.0665219645	0.1300344113	0.0701496302	-0.1154430632	0.013107476000000002	-0.0362889583	-0.0208979992	-0.034052528	0.0244275981	-0.0582529355	0.0431158339	-0.0947298135	0.13984715039999998	0.0786831229	0.0381768557	0.0024360682	-0.032651362999999996	0.1129892465	0.0443518884	0.0326770582	0.0521244182	0.0666925932	0.015526928700000001	-0.09067173099999999	-0.042646879500000005	-0.0144496328	0.01542634	-0.0274536131	0.005349271	-0.0103209016	-0.0203164892	0.0009467853999999999	0.022765560299999998	0.042247071799999994	0.006807419499999999	0.0389769856	0.0407100771	-0.0100758212	0.08186743099999999	0.0817002238	0.081421798	0.08103253269999999	0.08053295769999999	0.0799237532	0.0792057484	0.0783799208	0.0	0.0	-0.00348666	0.0064335600000000005	1.21567979556e-05	4.13906942736e-05	-0.00109858	-0.03545638	0.0012571548827044002	1.2068780164e-06	0.100377	-0.019933999999999997	0.00039736435599999976	0.010075542128999998	0.00114953	0.0011200708	1.25455859701264e-06	1.3214192208999998e-06	-0.0	0.0	0.0	0.0	-0.000232318	-0.000232318	5.3971653124e-08	5.3971653124e-08	0.0
